CustomerID,Gender,MaritalStatus,YearlyIncome,Revenue,Customer Value,OrderDate,Weekday,Month,Year,Country,BirthDate,Age,Age band,Firstname,Lastname,Customername,,,,
10002,Female,Married,0-25000,"£3,954",Convinced seekers,6/2/2011,Thursday,June,2011,Australia,8/11/1957,53,Adult,KELSEY,Raje,KELSEY Raje,,,,
10003,Female,Married,0-25000,"£3,954",Convinced seekers,6/12/2011,Sunday,June,2011,Australia,1/9/1971,40,Adult,GLORIA,Carlson,GLORIA Carlson,,,,
10004,Female,Married,0-25000,"£3,954",Convinced seekers,8/14/2011,Sunday,August,2011,Australia,2/13/1942,69,Elderly,BETHANY,Nara,BETHANY Nara,,,,
10005,Female,Married,0-25000,"£3,954",Convinced seekers,8/19/2011,Friday,August,2011,Australia,11/17/1927,83,Elderly,BETHANY,She,BETHANY She,,,,
10006,Female,Married,0-25000,"£3,954",Convinced seekers,10/8/2011,Saturday,October,2011,Germany,11/3/1979,31,Young Adult,MONIQUE,Gill,MONIQUE Gill,,,,
10007,Female,Married,0-25000,"£3,954",Convinced seekers,11/5/2011,Saturday,November,2011,Germany,9/3/1935,76,Elderly,LORI,Rubio,LORI Rubio,,,,
10008,Female,Married,0-25000,"£3,954",Convinced seekers,11/16/2011,Wednesday,November,2011,Australia,4/27/1977,34,Young Adult,BRANDI,Blanco,BRANDI Blanco,,,,
10009,Female,Married,0-25000,"£3,954",Convinced seekers,11/22/2011,Tuesday,November,2011,Australia,1/9/1961,50,Seniors,BRANDI,Ruiz,BRANDI Ruiz,,,,
10010,Female,Married,0-25000,"£3,729",Convinced seekers,12/31/2011,Saturday,December,2011,Australia,6/10/1960,51,Seniors,JENNY,McDonald,JENNY McDonald,,,,
10011,Female,Married,0-25000,"£3,954",Convinced seekers,1/21/2012,Saturday,January,2012,Australia,8/12/1968,43,Adult,CASSANDRA,Malhotra,CASSANDRA Malhotra,,,,
10012,Female,Married,0-25000,"£3,729",Convinced seekers,3/23/2012,Friday,March,2012,Australia,3/3/1968,44,Adult,KAYLA,Thomas,KAYLA Thomas,,,,
10013,Female,Married,0-25000,"£3,954",Convinced seekers,4/2/2012,Monday,April,2012,Australia,4/4/1954,57,Seniors,KAITLYN,Bennett,KAITLYN Bennett,,,,Total
10014,Female,Married,0-25000,"£3,954",Convinced seekers,5/1/2012,Tuesday,May,2012,Australia,6/15/1962,49,Adult,KATIE,Shan,KATIE Shan,,,,
10015,Female,Married,0-25000,"£3,954",Convinced seekers,5/1/2012,Tuesday,May,2012,Germany,3/10/1933,79,Elderly,GINA,Navarro,GINA Navarro,,,,
10016,Female,Married,0-25000,"£2,264",Brand seekers,6/4/2012,Monday,June,2012,Australia,2/8/1976,36,Adult,LACEY,Zhang,LACEY Zhang,,,,
10017,Female,Married,0-25000,"£2,289",Brand seekers,10/25/2012,Thursday,October,2012,Germany,7/9/1957,55,Seniors,TAYLOR,Johnson,TAYLOR Johnson,,,,
10018,Female,Married,0-25000,£865,Casual buyers,11/30/2012,Friday,November,2012,Northwest,1/7/1961,51,Seniors,RACHAEL,Vance,RACHAEL Vance,,,,
10019,Female,Married,0-25000,"£2,411",Brand seekers,2/8/2013,Friday,February,2013,France,1/27/1949,64,Seniors,DIANE,Serrano,DIANE Serrano,,,,
10020,Female,Married,0-25000,"£2,700",Convinced seekers,2/28/2013,Thursday,February,2013,Germany,4/28/1956,56,Seniors,DANA,Torres,DANA Torres,,,,
10021,Female,Married,0-25000,"£2,264",Brand seekers,3/6/2013,Wednesday,March,2013,Australia,9/13/1961,51,Seniors,TERESA,Dominguez,TERESA Dominguez,,,,
10022,Female,Married,0-25000,"£2,289",Brand seekers,3/11/2013,Monday,March,2013,Australia,8/21/1961,51,Seniors,PAULA,Blanco,PAULA Blanco,,,,
